"統計期","一般廢棄物產生量[公噸]","一般廢棄物處理量/總計[公噸]","一般廢棄物處理量/一般垃圾清運量/合計[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/焚化[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/焚化巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/衛生掩埋[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/衛生掩埋巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/其他[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位自行清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位自行清運巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位委託清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/公私處所自行或委託清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/公私處所自行或委託清運巨大垃圾[公噸]","一般廢棄物處理量/資源回收量/合計[公噸]","一般廢棄物處理量/資源回收量/環保單位[公噸]","一般廢棄物處理量/資源回收量/社區學校機關[公噸]","一般廢棄物處理量/巨大垃圾回收再利用量[公噸]","一般廢棄物處理量/廚餘回收再利用量/合計[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/堆肥[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/養豬[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/其他[公噸]","一般廢棄物處理量/廚餘回收再利用量/回收管道/環保單位[公噸]","一般廢棄物處理量/廚餘回收再利用量/回收管道/社區學校機關[公噸]","每人一般廢棄物產生量[公斤]","每日一般垃圾清運量[公噸]","一般廢棄物妥善處理率[%]","資源回收率[%]","垃圾清理車輛機具數[輛]","垃圾處理廠[場]回饋設施使用人次/游泳池[人次]","垃圾處理廠[場]回饋設施使用人次/健身房[人次]","清潔隊員人數[人]","清運工員人數[人]","清運人員數[人]"
"84年",1405933,1387724,1405933,622384,0,765340,0,18209,1405933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,3852,98.70,0,1959,0,0,0,0,0
"85年",1509597,1417612,1509597,631286,0,786326,0,91985,1509597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,4125,93.91,0,1958,0,0,0,0,0
"86年",1487299,1520170,1460820,700759,0,792932,0,0,1460820,0,0,0,0,26479,0,0,0,0,0,0,0,0,0,572,4002,102.21,1.78,1958,0,0,4128,4128,0
"87年",1580032,1659766,1553644,1085833,0,547545,0,0,1553644,0,0,0,0,26388,0,0,0,0,0,0,0,0,0,603,4257,105.05,1.67,1924,0,0,4128,7545,0
"88年",1429717,1677252,1406766,1028372,0,625929,0,0,1406766,0,0,0,0,22951,0,0,0,0,0,0,0,0,0,541,3854,117.31,1.61,1923,0,0,4128,7545,0
"89年",1320879,1493201,1271887,838197,0,606012,0,0,1271887,0,0,0,0,48992,37917,11075,0,0,0,0,0,0,0,500,3475,113.05,3.71,1949,0,0,4126,7543,0
"90年",1049394,1049394,994312,545545,0,448767,0,0,970503,0,0,23809,0,55082,45955,9127,0,0,0,0,0,0,0,397,2724,100.00,5.25,2361,0,0,2291,2923,0
"91年",963281,963281,741890,613122,0,128470,0,298,709089,0,0,32801,0,221391,47022,174369,0,0,0,0,0,0,0,365,2033,100.00,22.98,2349,0,0,3423,4391,0
"92年",897406,897406,661474,570832,0,90642,0,0,645266,0,0,16207,0,231243,39547,191696,0,4690,2630,1336,724,4307,382,341,1812,100.00,25.77,1726,0,0,2995,5646,0
"93年",921729,921729,592464,505795,0,86669,0,0,582155,0,0,10308,0,287155,33856,253299,0,42110,32773,9337,0,42006,104,351,1619,100.00,31.15,2079,0,0,2706,5214,0
"94年",962625,962625,559769,476040,22230,83730,0,0,529098,0,0,8441,0,327437,35537,291900,5821,69598,48151,21443,5,50107,19492,367,1534,100.00,34.02,2157,0,0,2498,4980,0
"95年",957721,957721,530732,450105,8955,80422,0,205,513016,0,0,8761,0,342089,36695,305394,10313,74587,52436,21897,254,56108,18479,365,1454,100.00,35.72,2136,0,0,2141,4463,0
"96年",1000413,1000413,525555,442511,10783,83044,0,0,502325,0,0,12446,0,388087,35335,352752,8092,78679,58401,20278,0,64295,14384,380,1440,100.00,38.79,3014,0,0,2130,4389,6097
"97年",867137,867137,401381,401381,16143,0,0,0,371084,0,0,14153,0,387315,34218,353097,926,77516,58664,18852,0,68011,9505,330,1097,100.00,44.67,2986,0,0,2172,4457,6134
"98年",842374,842374,388592,388592,13808,0,0,0,363529,0,0,11256,0,371210,33963,337247,1262,81310,59411,21899,0,67277,14033,322,1065,100.00,44.07,2270,0,0,2170,4447,6124
"99年",928878,928878,390738,390738,13698,0,0,0,365540,0,0,11500,0,453021,28935,424086,1290,83829,61934,21894,0,69287,14542,355,1071,100.00,48.77,2286,0,0,2140,4408,6096
"100年",959025,959025,378591,378591,0,0,0,0,367736,0,0,10854,0,477590,26802,450788,14230,88615,65254,23361,0,72240,16375,364,1037,100.00,49.80,2584,0,0,2146,4405,6118
"101年",843699,843699,261524,261524,0,0,0,0,261524,0,0,0,0,478629,25662,452967,15478,88067,62553,25514,0,68800,19267,317,715,100.00,56.73,2711,0,0,2285,4477,6134
"102年",830676,830676,267250,267250,0,0,0,0,265912,0,0,1338,0,466450,26834,439616,16012,80964,61854,19110,0,67518,13446,310,732,100.00,56.15,2815,0,0,2241,4369,6086
